ID,详情页,Title,Name of actors,上映时间,Rating,Type,Duration,Name of actors,Cumulative income
1,https://maoyan.com/films/1211270,哪吒之魔童降世,"主演：吕艳婷,囧森瑟夫,瀚墨",上映时间：2019-07-26,9.6,"动画,喜剧,奇幻",110分钟,饺子,5035700000
2,https://maoyan.com/films/1200486,我不是药神,"主演：徐峥,周一围,王传君",上映时间：2018-07-05,9.6,"剧情,喜剧",117分钟,文牧野,3100020000
3,https://maoyan.com/films/1297,肖申克的救赎,"主演：蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",上映时间：1994-09-10(加拿大),9.5,"剧情,犯罪",142分钟,弗兰克·德拉邦特,暂无
4,https://maoyan.com/films/1292,海上钢琴师,"主演：蒂姆·罗斯,比尔·努恩 ,克兰伦斯·威廉姆斯三世",上映时间：2019-11-15,9.3,"剧情,爱情,音乐",126分钟,朱塞佩·托纳多雷,143760000
5,https://maoyan.com/films/1206605,绿皮书,"主演：维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼",上映时间：2019-03-01,9.5,"剧情,喜剧,传记",130分钟,彼得·法雷里,478720000
6,https://maoyan.com/films/1216365,小偷家族,"主演：中川雅也,安藤樱,松冈茉优",上映时间：2018-08-03,8.1,"剧情,犯罪",121分钟,是枝裕和,96750000
7,https://maoyan.com/films/1303,美丽人生,"主演：罗伯托·贝尼尼,朱斯蒂诺·杜拉诺,赛尔乔·比尼·布斯特里克",上映时间：2020-01-03,9.3,"战争,剧情,爱情",116分钟,罗伯托·贝尼尼,59790000
8,https://maoyan.com/films/1203,霸王别姬,"主演：张国荣,张丰毅,巩俐",上映时间：1993-07-26,9.4,"剧情,爱情",171分钟,陈凯歌,50000
9,https://maoyan.com/films/4055,这个杀手不太冷,"主演：让·雷诺,加里·奥德曼,娜塔莉·波特曼",上映时间：1994-09-14(法国),9.4,"剧情,动作,犯罪",110分钟,吕克·贝松,暂无
10,https://maoyan.com/films/70976,触不可及,"主演：弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼",上映时间：2011-11-02(法国),9.1,"剧情,喜剧",112分钟,奥利维埃·纳卡什,暂无
11,https://maoyan.com/films/416,盗梦空间,"主演：莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",上映时间：2010-09-01,9.0,"动作,悬疑,惊悚,科幻",148分钟,克里斯托弗·诺兰,496200000
12,https://maoyan.com/films/46818,怦然心动,"主演：玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹•奎因",上映时间：2010-07-26(美国),8.9,爱情,90分钟,罗伯·莱纳,暂无
13,https://maoyan.com/films/3667,辛德勒的名单,"主演：连姆·尼森,拉尔夫·费因斯,本·金斯利",上映时间：1993-11-30(美国),9.2,"剧情,历史,战争",195分钟,史蒂文·斯皮尔伯格,暂无
14,https://maoyan.com/films/1304,楚门的世界,"主演：金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",上映时间：1998(罗马尼亚),8.9,剧情,103分钟,彼得·威尔,暂无
15,https://maoyan.com/films/1633,阿甘正传,"主演：汤姆·汉克斯,罗宾·怀特,加里·西尼斯",上映时间：1994-07-06(美国),9.4,"剧情,爱情",142分钟,罗伯特·泽米吉斯,暂无
16,https://maoyan.com/films/1319,情书,"主演：中山美穗,丰川悦司,酒井美纪",上映时间：1999-03-01,8.9,"剧情,爱情",116分钟,岩井俊二,65210000
17,https://maoyan.com/films/1212,千与千寻,"主演：柊瑠美,周冬雨,入野自由",上映时间：2019-06-21,9.3,"动画,冒险,奇幻,家庭",125分钟,宫崎骏,488280000
18,https://maoyan.com/films/78341,星际穿越,"主演：马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦",上映时间：2014-11-12,9.3,"剧情,科幻,冒险",169分钟,克里斯托弗·诺兰,876970000
19,https://maoyan.com/films/1218727,何以为家,"主演：赞恩·阿尔·拉菲亚,约丹诺斯·希费罗,博鲁瓦蒂夫·特雷杰·班科尔",上映时间：2019-04-29,9.3,剧情,116分钟,娜丁·拉巴基,376840000
20,https://maoyan.com/films/1215201,小丑,"主演：华金·菲尼克斯,罗伯特·德尼罗,亚历克·鲍德温",上映时间：2019-10-04(美国),8.6,"剧情,惊悚,犯罪",122分钟,托德·菲利普斯,暂无
21,https://maoyan.com/films/995,少年派的奇幻漂流,"主演：苏拉·沙玛,伊尔凡·可汗,塔布",上映时间：2012-11-22,9.0,"剧情,奇幻,冒险",127分钟,李安,572880000
22,https://maoyan.com/films/588362,摔跤吧！爸爸,"主演：阿米尔·汗,沙克希·坦沃,法缇玛·萨那·纱卡",上映时间：2017-05-05,9.8,"喜剧,动作,家庭",140分钟,涅提·蒂瓦里,1299320000
23,https://maoyan.com/films/718,天堂电影院,"主演：菲利浦·诺瓦雷,雅克·贝汉,马克·莱昂纳蒂",上映时间：2021-06-11,9.3,"剧情,爱情",124分钟,朱塞佩·托纳多雷,20000000
24,https://maoyan.com/films/342068,寻梦环游记,"主演：安东尼·冈萨雷斯,本杰明·布拉特,盖尔·加西亚·贝纳尔",上映时间：2017-11-24,9.6,"动画,冒险,家庭",105分钟,李·昂克里奇,1230080000
25,https://maoyan.com/films/38286,忠犬八公的故事,"主演：Forest,理查·基尔,琼·艾伦",上映时间：2009-06-13(美国),9.3,剧情,93分钟,拉斯·霍尔斯道姆,暂无
26,https://maoyan.com/films/1247,教父,"主演：马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩",上映时间：2015-04-18,9.3,"剧情,惊悚,犯罪",175分钟,弗朗西斯·福特·科波拉,暂无
27,https://maoyan.com/films/67214,熔炉,"主演：孔刘,郑有美,金智英",上映时间：2011-09-22(韩国),8.8,剧情,125分钟,黄东赫,暂无
28,https://maoyan.com/films/1205,放牛班的春天,"主演：热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,玛丽·布奈尔",上映时间：2004-10-16,8.8,"剧情,喜剧,音乐",96分钟,克里斯托夫·巴拉蒂,暂无
29,https://maoyan.com/films/899,当幸福来敲门,"主演：威尔·史密斯,贾登·史密斯,坦迪·牛顿",上映时间：2008-01-17,9.3,"剧情,家庭,传记",117分钟,加布里埃莱·穆奇诺,9810000
30,https://maoyan.com/films/1375,活着,"主演：葛优,巩俐,牛犇",上映时间：1994-05-17(法国),9.0,"剧情,家庭,历史",132分钟,张艺谋,暂无
31,https://maoyan.com/films/20394,被嫌弃的松子的一生,"主演：中谷美纪,永山瑛太,伊势谷友介",上映时间：2006-05-27(日本),8.5,"剧情,歌舞",130分钟,中岛哲也,暂无
32,https://maoyan.com/films/123,龙猫,"主演：秦岚,糸井重里,岛本须美",上映时间：2018-12-14,9.2,"动画,冒险,奇幻,家庭",86分钟,宫崎骏,173700000
33,https://maoyan.com/films/1204,死亡诗社,"主演：罗宾·威廉姆斯,伊桑·霍克,柯特伍德·史密斯",上映时间：1989-06-02(加拿大),8.7,剧情,128分钟,彼得·威尔,暂无
34,https://maoyan.com/films/267,泰坦尼克号,"主演：莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",上映时间：1998-04-03,9.4,"剧情,爱情,灾难",194分钟,詹姆斯·卡梅隆,1306150000
35,https://maoyan.com/films/342754,三块广告牌,"主演：弗兰西斯·麦克多蒙德,伍迪·哈里森,山姆·洛克威尔",上映时间：2018-03-02,8.6,"剧情,犯罪",115分钟,马丁·麦克唐纳,64990000
36,https://maoyan.com/films/344881,你的名字。,"主演：上白石萌音,佟心竹,神木隆之介",上映时间：2016-12-02,9.2,"爱情,动画,奇幻",106分钟,新海诚,575710000
37,https://maoyan.com/films/458721,看不见的客人,"主演：马里奥·卡萨斯,阿娜·瓦格纳,何塞·科罗纳多",上映时间：2017-09-15,9.4,"犯罪,悬疑,惊悚",106分钟,奥里奥尔·保罗,172580000
38,https://maoyan.com/films/409801,请以你的名字呼唤我,"主演：提莫西·查拉梅,艾米·汉莫,迈克尔·斯图巴",上映时间：2017-01-22(美国),8.0,"爱情,剧情",132分钟,卢卡·瓜达尼诺,暂无
39,https://maoyan.com/films/6289,闻香识女人,"主演：阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔",上映时间：1992-12-23(美国),8.8,剧情,157分钟,马丁·布莱斯特,暂无
40,https://maoyan.com/films/43,三傻大闹宝莱坞,"主演：阿米尔·汗,黄渤,卡琳娜·卡普",上映时间：2011-12-08,9.1,"剧情,喜剧,冒险",171分钟,拉吉库马尔·希拉尼,13960000
41,https://maoyan.com/films/2039,末代皇帝,"主演：尊龙,陈冲,彼得·奥图尔",上映时间：1987-10-04(日本),8.8,剧情,163分钟,贝纳尔多·贝托鲁奇,暂无
42,https://maoyan.com/films/1332,美国往事,"主演：罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文",上映时间：2015-04-23,9.1,"剧情,犯罪",229分钟,赛尔乔·莱翁内,暂无
43,https://maoyan.com/films/1284164,西西里的美丽传说,"主演：莫妮卡·安娜·玛丽亚·贝鲁奇,朱塞佩·苏尔法罗,玛蒂尔德·皮亚纳",上映时间：2000-10-26(意大利),8.2,"剧情,爱情,战争",109分钟,朱塞佩·托纳多雷,暂无
